ICMP,Media,Condition,Replicate,Age,Size,Colour
16972,PDA,L,1,2,15,White
16972,PDA,L,1,4,17,White
16972,PDA,L,1,8,33,White
16972,PDA,L,1,16,70,White
16972,PDA,L,1,32,90,White
16972,PDA,L,1,64,90,White
16972,PDA,L,2,2,,White
16972,PDA,L,2,4,32,White
16972,PDA,L,2,8,39,White
16972,PDA,L,2,16,,White
16972,PDA,L,2,32,90,White
16972,PDA,L,2,64,90,White
16972,PDA,L,3,2,,White
16972,PDA,L,3,4,,White
16972,PDA,L,3,8,41,White
16972,PDA,L,3,16,,White
16972,PDA,L,3,32,90,White
16972,PDA,L,3,64,90,White
16972,PDA,D,1,2,10,White
16972,PDA,D,1,4,13,White
16972,PDA,D,1,8,33,White
16972,PDA,D,1,16,70,White
16972,PDA,D,1,32,90,White
16972,PDA,D,1,64,90,White
16972,PDA,D,2,2,14,White
16972,PDA,D,2,4,20,White
16972,PDA,D,2,8,36,White
16972,PDA,D,2,16,62,White
16972,PDA,D,2,32,90,White
16972,PDA,D,2,64,90,White
16972,PDA,D,3,2,,White
16972,PDA,D,3,4,27,White
16972,PDA,D,3,8,,White
16972,PDA,D,3,16,67,White
16972,PDA,D,3,32,90,White
16972,PDA,D,3,64,90,White
16972,MEA,L,1,2,10,White
16972,MEA,L,1,4,14,White
16972,MEA,L,1,8,47,White
16972,MEA,L,1,16,,White
16972,MEA,L,1,32,90,White
16972,MEA,L,1,64,90,White
16972,MEA,L,2,2,,White
16972,MEA,L,2,4,21,White
16972,MEA,L,2,8,38,White
16972,MEA,L,2,16,,White
16972,MEA,L,2,32,90,White
16972,MEA,L,2,64,90,White
16972,MEA,L,3,2,,White
16972,MEA,L,3,4,29,White
16972,MEA,L,3,8,38,White
16972,MEA,L,3,16,,White
16972,MEA,L,3,32,80,White
16972,MEA,L,3,64,90,White
16972,MEA,D,1,2,12,White
16972,MEA,D,1,4,18,White
16972,MEA,D,1,8,,White
16972,MEA,D,1,16,,White
16972,MEA,D,1,32,65,White
16972,MEA,D,1,64,90,White
16972,MEA,D,2,2,19,White
16972,MEA,D,2,4,26,White
16972,MEA,D,2,8,,White
16972,MEA,D,2,16,,White
16972,MEA,D,2,32,70,White
16972,MEA,D,2,64,90,White
16972,MEA,D,3,2,,White
16972,MEA,D,3,4,34,White
16972,MEA,D,3,8,,White
16972,MEA,D,3,16,,White
16972,MEA,D,3,32,,White
16972,MEA,D,3,64,,White
16972,WA,L,1,2,10,White
16972,WA,L,1,4,16,White
16972,WA,L,1,8,40,White
16972,WA,L,1,16,,White
16972,WA,L,1,32,90,White
16972,WA,L,1,64,90,White
16972,WA,L,2,2,,White
16972,WA,L,2,4,15,White
16972,WA,L,2,8,40,White
16972,WA,L,2,16,,White
16972,WA,L,2,32,50,White
16972,WA,L,2,64,90,White
16972,WA,L,3,2,,White
16972,WA,L,3,4,40,White
16972,WA,L,3,8,,White
16972,WA,L,3,16,,White
16972,WA,L,3,32,,White
16972,WA,L,3,64,,White
16972,WA,D,1,2,1,White
16972,WA,D,1,4,,White
16972,WA,D,1,8,15,White
16972,WA,D,1,16,,White
16972,WA,D,1,32,50,White
16972,WA,D,1,64,90,White
16972,WA,D,2,2,0,White
16972,WA,D,2,4,,White
16972,WA,D,2,8,41,White
16972,WA,D,2,16,,White
16972,WA,D,2,32,90,White
16972,WA,D,2,64,90,White
16972,WA,D,3,2,,White
16972,WA,D,3,4,27,White
16972,WA,D,3,8,,White
16972,WA,D,3,16,,White
16972,WA,D,3,32,90,White
16972,WA,D,3,64,90,White
16972,CEA,L,1,2,15,White
16972,CEA,L,1,4,18,White
16972,CEA,L,1,8,23,White
16972,CEA,L,1,16,,White
16972,CEA,L,1,32,90,White
16972,CEA,L,1,64,90,White
16972,CEA,L,2,2,,White
16972,CEA,L,2,4,18,White
16972,CEA,L,2,8,50,White
16972,CEA,L,2,16,90,White
16972,CEA,L,2,32,90,White
16972,CEA,L,2,64,90,White
16972,CEA,L,3,2,,White
16972,CEA,L,3,4,20,White
16972,CEA,L,3,8,35,White
16972,CEA,L,3,16,90,White
16972,CEA,L,3,32,90,White
16972,CEA,L,3,64,90,White
16972,CEA,D,1,2,10,White
16972,CEA,D,1,4,12,White
16972,CEA,D,1,8,40,White
16972,CEA,D,1,16,68,White
16972,CEA,D,1,32,90,White
16972,CEA,D,1,64,90,White
16972,CEA,D,2,2,17,White
16972,CEA,D,2,4,21,White
16972,CEA,D,2,8,24,White
16972,CEA,D,2,16,63,White
16972,CEA,D,2,32,90,White
16972,CEA,D,2,64,90,White
16972,CEA,D,3,2,,White
16972,CEA,D,3,4,24,White
16972,CEA,D,3,8,,White
16972,CEA,D,3,16,,White
16972,CEA,D,3,32,,White
16972,CEA,D,3,64,,White
16972,REA,L,1,2,20,White
16972,REA,L,1,4,21,White
16972,REA,L,1,8,25,White
16972,REA,L,1,16,47,White
16972,REA,L,1,32,90,White
16972,REA,L,1,64,90,White
16972,REA,L,2,2,,White
16972,REA,L,2,4,19,White
16972,REA,L,2,8,31,White
16972,REA,L,2,16,,White
16972,REA,L,2,32,90,White
16972,REA,L,2,64,90,White
16972,REA,L,3,2,,White
16972,REA,L,3,4,,White
16972,REA,L,3,8,35,White
16972,REA,L,3,16,,White
16972,REA,L,3,32,90,White
16972,REA,L,3,64,90,White
16972,REA,D,1,2,20,White
16972,REA,D,1,4,,White
16972,REA,D,1,8,31,White
16972,REA,D,1,16,,White
16972,REA,D,1,32,90,White
16972,REA,D,1,64,90,White
16972,REA,D,2,2,0,White
16972,REA,D,2,4,9,White
16972,REA,D,2,8,60,White
16972,REA,D,2,16,,White
16972,REA,D,2,32,90,White
16972,REA,D,2,64,90,White
16972,REA,D,3,2,,White
16972,REA,D,3,4,19,White
16972,REA,D,3,8,,White
16972,REA,D,3,16,,White
16972,REA,D,3,32,90,White
16972,REA,D,3,64,90,White
16972,OEA,L,1,2,13,White
16972,OEA,L,1,4,15,White
16972,OEA,L,1,8,39,White
16972,OEA,L,1,16,,White
16972,OEA,L,1,32,80,White
16972,OEA,L,1,64,90,White
16972,OEA,L,2,2,,White
16972,OEA,L,2,4,27,White
16972,OEA,L,2,8,45,White
16972,OEA,L,2,16,,White
16972,OEA,L,2,32,90,White
16972,OEA,L,2,64,90,White
16972,OEA,L,3,2,,White
16972,OEA,L,3,4,,White
16972,OEA,L,3,8,51,White
16972,OEA,L,3,16,,White
16972,OEA,L,3,32,90,White
16972,OEA,L,3,64,90,White
16972,OEA,D,1,2,10,White
16972,OEA,D,1,4,20,White
16972,OEA,D,1,8,40,White
16972,OEA,D,1,16,55,White
16972,OEA,D,1,32,90,White
16972,OEA,D,1,64,90,White
16972,OEA,D,2,2,18,White
16972,OEA,D,2,4,34,White
16972,OEA,D,2,8,44,White
16972,OEA,D,2,16,75,White
16972,OEA,D,2,32,90,White
16972,OEA,D,2,64,90,White
16972,OEA,D,3,2,,White
16972,OEA,D,3,4,33,White
16972,OEA,D,3,8,49,White
16972,OEA,D,3,16,,White
16972,OEA,D,3,32,90,White
16972,OEA,D,3,64,90,White
,,,,,,
17492,PDA,L,1,2,20,Pink
17492,PDA,L,1,4,40,Pink
17492,PDA,L,1,8,50,Pink
17492,PDA,L,1,16,,Pink
17492,PDA,L,1,32,90,Pink
17492,PDA,L,1,64,90,Pink
17492,PDA,L,2,2,,Pink
17492,PDA,L,2,4,,Pink
17492,PDA,L,2,8,58,Pink
17492,PDA,L,2,16,,Pink
17492,PDA,L,2,32,70,Pink
17492,PDA,L,2,64,90,Pink
17492,PDA,L,3,2,,Pink
17492,PDA,L,3,4,,Pink
17492,PDA,L,3,8,61,Pink
17492,PDA,L,3,16,,Pink
17492,PDA,L,3,32,,Pink
17492,PDA,L,3,64,,Pink
17492,PDA,D,1,2,20,Pink
17492,PDA,D,1,4,40,Pink
17492,PDA,D,1,8,,Pink
17492,PDA,D,1,16,,Pink
17492,PDA,D,1,32,85,Pink
17492,PDA,D,1,64,90,Pink
17492,MEA,L,1,2,15,Pink
17492,MEA,L,1,4,18,Pink
17492,MEA,L,1,8,24,Pink
17492,MEA,L,1,16,,Pink
17492,MEA,L,1,32,72,Pink
17492,MEA,L,1,64,90,Pink
17492,MEA,L,2,2,,Pink
17492,MEA,L,2,4,32,Pink
17492,MEA,L,2,8,40,Pink
17492,MEA,L,2,16,,Pink
17492,MEA,L,2,32,90,Pink
17492,MEA,L,2,64,90,Pink
17492,MEA,L,3,2,,Pink
17492,MEA,L,3,4,,Pink
17492,MEA,L,3,8,45,Pink
17492,MEA,L,3,16,,Pink
17492,MEA,L,3,32,90,Pink
17492,MEA,L,3,64,90,Pink
17492,MEA,D,1,2,15,Pink
17492,MEA,D,1,4,20,Pink
17492,MEA,D,1,8,23,Pink
17492,MEA,D,1,16,,Pink
17492,MEA,D,1,32,75,Pink
17492,MEA,D,1,64,90,Pink
17492,MEA,D,2,2,14,Pink
17492,MEA,D,2,4,,Pink
17492,MEA,D,2,8,,Pink
17492,MEA,D,2,16,,Pink
17492,MEA,D,2,32,,Pink
17492,MEA,D,2,64,,Pink
17492,WA,L,1,2,0,Pink
17492,WA,L,1,4,18,Pink
17492,WA,L,1,8,20,Pink
17492,WA,L,1,16,,Pink
17492,WA,L,1,32,50,Pink
17492,WA,L,1,64,90,Pink
17492,WA,L,2,2,,Pink
17492,WA,L,2,4,,Pink
17492,WA,L,2,8,24,Pink
17492,WA,L,2,16,,Pink
17492,WA,L,2,32,,Pink
17492,WA,L,2,64,,Pink
17492,WA,L,3,2,,Pink
17492,WA,L,3,4,,Pink
17492,WA,L,3,8,24,Pink
17492,WA,L,3,16,,Pink
17492,WA,L,3,32,,Pink
17492,WA,L,3,64,,Pink
17492,WA,D,1,2,0,Pink
17492,WA,D,1,4,17,Pink
17492,WA,D,1,8,22,Pink
17492,WA,D,1,16,35,Pink
17492,WA,D,1,32,67,Pink
17492,WA,D,1,64,90,Pink
17492,WA,D,2,2,9,Pink
17492,WA,D,2,4,12,Pink
17492,WA,D,2,8,22,Pink
17492,WA,D,2,16,35,Pink
17492,WA,D,2,32,,Pink
17492,WA,D,2,64,,Pink
17492,CEA,L,1,2,0,Pink
17492,CEA,L,1,4,0,Pink
17492,CEA,L,1,8,4,Pink
17492,CEA,L,1,16,25,Pink
17492,CEA,L,1,32,55,Pink
17492,CEA,L,1,64,,Pink
17492,CEA,L,2,2,,Pink
17492,CEA,L,2,4,8,Pink
17492,CEA,L,2,8,9,Pink
17492,CEA,L,2,16,35,Pink
17492,CEA,L,2,32,,Pink
17492,CEA,L,2,64,,Pink
17492,CEA,D,1,2,0,Pink
17492,CEA,D,1,4,4,Pink
17492,CEA,D,1,8,5,Pink
17492,CEA,D,1,16,20,Pink
17492,CEA,D,1,32,35,Pink
17492,CEA,D,1,64,,Pink
17492,CEA,D,2,2,0,Pink
17492,CEA,D,2,4,0,Pink
17492,CEA,D,2,8,8,Pink
17492,CEA,D,2,16,20,Pink
17492,CEA,D,2,32,25,Pink
17492,CEA,D,2,64,,Pink
17492,CEA,D,3,2,,Pink
17492,CEA,D,3,4,7,Pink
17492,CEA,D,3,8,,Pink
17492,CEA,D,3,16,11,Pink
17492,CEA,D,3,32,,Pink
17492,CEA,D,3,64,,Pink
17492,REA,L,1,2,10,Pink
17492,REA,L,1,4,10,Pink
17492,REA,L,1,8,41,Pink
17492,REA,L,1,16,,Pink
17492,REA,L,1,32,90,Pink
17492,REA,L,1,64,90,Pink
17492,REA,L,2,2,,Pink
17492,REA,L,2,4,23,Pink
17492,REA,L,2,8,45,Pink
17492,REA,L,2,16,,Pink
17492,REA,L,2,32,90,Pink
17492,REA,L,2,64,90,Pink
17492,REA,L,3,2,,Pink
17492,REA,L,3,4,,Pink
17492,REA,L,3,8,32,Pink
17492,REA,L,3,16,,Pink
17492,REA,L,3,32,,Pink
17492,REA,L,3,64,,Pink
17492,REA,D,1,2,,Pink
17492,REA,D,1,4,12,Pink
17492,REA,D,1,8,18,Pink
17492,REA,D,1,16,67,Pink
17492,REA,D,1,32,90,Pink
17492,REA,D,1,64,90,Pink
17492,REA,D,2,2,,Pink
17492,REA,D,2,4,32,Pink
17492,REA,D,2,8,40,Pink
17492,REA,D,2,16,60,Pink
17492,REA,D,2,32,90,Pink
17492,REA,D,2,64,90,Pink
17492,REA,D,3,2,,Pink
17492,REA,D,3,4,25,Pink
17492,REA,D,3,8,37,Pink
17492,REA,D,3,16,,Pink
17492,REA,D,3,32,90,Pink
17492,REA,D,3,64,90,Pink
17492,OEA,L,1,2,10,Pink
17492,OEA,L,1,4,10,Pink
17492,OEA,L,1,8,17,Pink
17492,OEA,L,1,16,,Pink
17492,OEA,L,1,32,77,Pink
17492,OEA,L,1,64,90,Pink
17492,OEA,L,2,2,,Pink
17492,OEA,L,2,4,20,Pink
17492,OEA,L,2,8,25,Pink
17492,OEA,L,2,16,,Pink
17492,OEA,L,2,32,90,Pink
17492,OEA,L,2,64,90,Pink
17492,OEA,L,3,2,,Pink
17492,OEA,L,3,4,,Pink
17492,OEA,L,3,8,40,Pink
17492,OEA,L,3,16,,Pink
17492,OEA,L,3,32,,Pink
17492,OEA,L,3,64,,Pink
17492,OEA,D,1,2,,Pink
17492,OEA,D,1,4,10,Pink
17492,OEA,D,1,8,40,Pink
17492,OEA,D,1,16,,Pink
17492,OEA,D,1,32,90,Pink
17492,OEA,D,1,64,90,Pink
17492,OEA,D,2,2,15,Pink
17492,OEA,D,2,4,19,Pink
17492,OEA,D,2,8,38,Pink
17492,OEA,D,2,16,,Pink
17492,OEA,D,2,32,90,Pink
17492,OEA,D,2,64,90,Pink
17492,OEA,D,3,2,,Pink
17492,OEA,D,3,4,29,Pink
17492,OEA,D,3,8,35,Pink
17492,OEA,D,3,16,,Pink
17492,OEA,D,3,32,90,Pink
17492,OEA,D,3,64,90,Pink
,,,,,,
15652,PDA,L,1,2,70,Black spores
15652,PDA,L,1,4,90,Black spores
15652,PDA,L,1,8,90,Black spores
15652,PDA,L,1,16,90,Black spores
15652,PDA,L,1,32,90,Black spores
15652,PDA,L,1,64,90,Black spores
15652,PDA,L,2,2,70,Black spores
15652,PDA,L,2,4,90,Black spores
15652,PDA,L,2,8,90,Black spores
15652,PDA,L,2,16,90,Black spores
15652,PDA,L,2,32,90,Black spores
15652,PDA,L,2,64,90,Black spores
15652,PDA,L,3,2,70,Black spores
15652,PDA,L,3,4,90,Black spores
15652,PDA,L,3,8,90,Black spores
15652,PDA,L,3,16,90,Black spores
15652,PDA,L,3,32,90,Black spores
15652,PDA,L,3,64,90,Black spores
15652,PDA,D,1,2,70,Black spores
15652,PDA,D,1,4,90,Black spores
15652,PDA,D,1,8,90,Black spores
15652,PDA,D,1,16,90,Black spores
15652,PDA,D,1,32,90,Black spores
15652,PDA,D,1,64,90,Black spores
15652,PDA,D,2,2,70,Black spores
15652,PDA,D,2,4,90,Black spores
15652,PDA,D,2,8,90,Black spores
15652,PDA,D,2,16,90,Black spores
15652,PDA,D,2,32,90,Black spores
15652,PDA,D,2,64,90,Black spores
15652,PDA,D,3,2,70,Black spores
15652,PDA,D,3,4,90,Black spores
15652,PDA,D,3,8,90,Black spores
15652,PDA,D,3,16,90,Black spores
15652,PDA,D,3,32,90,Black spores
15652,PDA,D,3,64,90,Black spores
15652,MEA,L,1,2,90,Black spores
15652,MEA,L,1,4,90,Black spores
15652,MEA,L,1,8,90,Black spores
15652,MEA,L,1,16,90,Black spores
15652,MEA,L,1,32,90,Black spores
15652,MEA,L,1,64,90,Black spores
15652,MEA,L,2,2,90,Black spores
15652,MEA,L,2,4,90,Black spores
15652,MEA,L,2,8,90,Black spores
15652,MEA,L,2,16,90,Black spores
15652,MEA,L,2,32,90,Black spores
15652,MEA,L,2,64,90,Black spores
15652,MEA,L,3,2,90,Black spores
15652,MEA,L,3,4,90,Black spores
15652,MEA,L,3,8,90,Black spores
15652,MEA,L,3,16,90,Black spores
15652,MEA,L,3,32,90,Black spores
15652,MEA,L,3,64,90,Black spores
15652,MEA,D,1,2,90,Black spores
15652,MEA,D,1,4,90,Black spores
15652,MEA,D,1,8,90,Black spores
15652,MEA,D,1,16,90,Black spores
15652,MEA,D,1,32,90,Black spores
15652,MEA,D,1,64,90,Black spores
15652,MEA,D,2,2,90,Black spores
15652,MEA,D,2,4,90,Black spores
15652,MEA,D,2,8,90,Black spores
15652,MEA,D,2,16,90,Black spores
15652,MEA,D,2,32,90,Black spores
15652,MEA,D,2,64,90,Black spores
15652,MEA,D,3,2,90,Black spores
15652,MEA,D,3,4,90,Black spores
15652,MEA,D,3,8,90,Black spores
15652,MEA,D,3,16,90,Black spores
15652,MEA,D,3,32,90,Black spores
15652,MEA,D,3,64,90,Black spores
15652,WA,L,1,2,20,Black spores
15652,WA,L,1,4,20,Black spores
15652,WA,L,1,8,90,Black spores
15652,WA,L,1,16,90,Black spores
15652,WA,L,1,32,90,Black spores
15652,WA,L,1,64,90,Black spores
15652,WA,L,2,2,20,Black spores
15652,WA,L,2,4,20,Black spores
15652,WA,L,2,8,90,Black spores
15652,WA,L,2,16,90,Black spores
15652,WA,L,2,32,90,Black spores
15652,WA,L,2,64,90,Black spores
15652,WA,L,3,2,20,Black spores
15652,WA,L,3,4,20,Black spores
15652,WA,L,3,8,90,Black spores
15652,WA,L,3,16,90,Black spores
15652,WA,L,3,32,90,Black spores
15652,WA,L,3,64,90,Black spores
15652,WA,D,1,2,10,Black spores
15652,WA,D,1,4,20,Black spores
15652,WA,D,1,8,90,Black spores
15652,WA,D,1,16,90,Black spores
15652,WA,D,1,32,90,Black spores
15652,WA,D,1,64,90,Black spores
15652,WA,D,2,2,10,Black spores
15652,WA,D,2,4,20,Black spores
15652,WA,D,2,8,90,Black spores
15652,WA,D,2,16,90,Black spores
15652,WA,D,2,32,90,Black spores
15652,WA,D,2,64,90,Black spores
15652,WA,D,3,2,10,Black spores
15652,WA,D,3,4,20,Black spores
15652,WA,D,3,8,90,Black spores
