ICMP,Phylum,TestedAgainst,Strain,Media,BioRep,Condition,TechRep,DaysOld,Size,ZOISize,Neg _control,
16972,Basidiomycete,KP,70063,PDA,1,L,1,8,,0,,
16972,Basidiomycete,KP,70063,PDA,1,D,1,8,,7,,
16972,Basidiomycete,KP,70063,PDA,2,L,1,26,100,0,,
16972,Basidiomycete,KP,70063,PDA,2,D,1,26,100,0,,
16972,Basidiomycete,KP,70063,PDA,3,L,1,16,50,0,,
16972,Basidiomycete,KP,70063,PDA,3,D,1,6,20,0,,
16972,Basidiomycete,KP,70063,PDA,4,L,1,13,50,0,,
16972,Basidiomycete,KP,70063,PDA,4,D,1,4,20,0,,
16972,Basidiomycete,KP,70063,MEA,1,L,1,12,50,0,,
16972,Basidiomycete,KP,70063,MEA,1,D,1,4,20,0,,
16972,Basidiomycete,KP,70063,MEA,2,L,1,8,,0,,
16972,Basidiomycete,KP,70063,MEA,2,D,1,26,100,0,,
16972,Basidiomycete,KP,70063,MEA,3,L,1,12,50,0,,
16972,Basidiomycete,KP,70063,MEA,4,L,1,9,20,0,,
16972,Basidiomycete,KP,70063,MEA,5,L,1,6,20,0,,
16972,Basidiomycete,KP,70063,WA,1,L,1,7,20,0,,
16972,Basidiomycete,KP,70063,WA,1,D,1,,,0,,
16972,Basidiomycete,KP,70063,WA,2,L,1,7,20,9,,                                                                                                                                                                                                                                                                                                                                                
16972,Basidiomycete,KP,70063,WA,2,D,1,14,,8,,
16972,Basidiomycete,KP,70063,WA,3,L,1,22,,11,,
16972,Basidiomycete,KP,70063,WA,3,D,1,36,,15,,
16972,Basidiomycete,KP,70063,WA,4,D,1,21,,10,,
16972,Basidiomycete,KP,70063,WA,5,D,1,30,,8,,
16972,Basidiomycete,KP,70063,CEA,1,L,1,8,,12,,
16972,Basidiomycete,KP,70063,CEA,1,D,1,8,,12,,
16972,Basidiomycete,KP,70063,CEA,2,L,1,6,20,0,,
16972,Basidiomycete,KP,70063,CEA,2,D,1,14,,8,,
16972,Basidiomycete,KP,70063,CEA,3,D,1,,,0,,
16972,Basidiomycete,KP,70063,REA,1,L,1,,,0,,
16972,Basidiomycete,KP,70063,REA,1,D,1,,,0,,
16972,Basidiomycete,KP,70063,REA,2,L,1,9,100,12,,
16972,Basidiomycete,KP,70063,REA,2,D,1,14,,11,,
16972,Basidiomycete,KP,70063,REA,3,L,1,6,50,10,,
16972,Basidiomycete,KP,70063,REA,3,D,1,36,100,15,,
16972,Basidiomycete,KP,70063,REA,4,L,1,15,,8,,
16972,Basidiomycete,KP,70063,REA,4,D,1,10,50,13,,
16972,Basidiomycete,KP,70063,REA,5,D,1,23,,7,,
16972,Basidiomycete,KP,70063,REA,6,D,1,14,100,0,,
16972,Basidiomycete,KP,70063,REA,7,D,1,14,100,0,,
16972,Basidiomycete,KP,70063,OEA,1,L,1,13,100,14,,
16972,Basidiomycete,KP,70063,OEA,1,D,1,14,50,0,,
16972,Basidiomycete,KP,70063,OEA,2,L,1,19,100,10,,
16972,Basidiomycete,EC,25922L,PDA,1,L,1,26,50,10,,
16972,Basidiomycete,EC,25922L,PDA,1,D,1,14,100,7,,
16972,Basidiomycete,EC,25922L,PDA,2,L,1,16,20,0,,
16972,Basidiomycete,EC,25922L,PDA,2,D,1,26,20,9,,
16972,Basidiomycete,EC,25922L,PDA,3,L,1,6,50,0,,
16972,Basidiomycete,EC,25922L,PDA,3,D,1,6,,0,,
16972,Basidiomycete,EC,25922L,PDA,4,L,,13,,0,,
16972,Basidiomycete,EC,25922L,PDA,4,D,,14,20,10,,
16972,Basidiomycete,EC,25922L,PDA,5,L,,4,,0,,
16972,Basidiomycete,EC,25922L,MEA,1,L,1,12,50,0,,
16972,Basidiomycete,EC,25922L,MEA,1,D,1,14,100,7,,
16972,Basidiomycete,EC,25922L,MEA,2,L,1,12,20,0,,
16972,Basidiomycete,EC,25922L,MEA,2,D,1,26,20,9,,
16972,Basidiomycete,EC,25922L,MEA,3,L,1,9,20,0,,
16972,Basidiomycete,EC,25922L,MEA,3,D,1,4,,0,,
16972,Basidiomycete,EC,25922L,MEA,4,L,1,6,20,0,,
16972,Basidiomycete,EC,25922L,MEA,4,D,1,61,,0,,
16972,Basidiomycete,EC,25922L,WA,1,L,1,7,,0,,
16972,Basidiomycete,EC,25922L,WA,1,D,1,23,,0,,
16972,Basidiomycete,EC,25922L,WA,2,L,1,15,,0,,
16972,Basidiomycete,EC,25922L,WA,2,D,1,14,,0,,
16972,Basidiomycete,EC,25922L,CEA,1,L,1,24,20,0,,
16972,Basidiomycete,EC,25922L,CEA,1,D,1,,,0,,
16972,Basidiomycete,EC,25922L,CEA,2,L,1,6,,0,,
16972,Basidiomycete,EC,25922L,CEA,2,D,1,,,0,,
16972,Basidiomycete,EC,25922L,REA,1,L,1,9,,0,,
16972,Basidiomycete,EC,25922L,REA,1,D,1,36,,0,,
16972,Basidiomycete,EC,25922L,REA,2,L,1,,50,8,,
16972,Basidiomycete,EC,25922L,REA,2,D,1,,,0,,
16972,Basidiomycete,EC,25922L,REA,3,L,1,6,,0,,
16972,Basidiomycete,EC,25922L,OEA,1,L,1,13,100,0,,
16972,Basidiomycete,EC,25922L,OEA,1,D,1,24,,0,,
16972,Basidiomycete,EC,25922L,OEA,2,L,1,19,,8,,
16972,Basidiomycete,EC,25922L,OEA,2,D,1,,,7,,
17492,Zygomycete,KP,70063,PDA,1,L,1,,,0,,
17492,Zygomycete,KP,70063,PDA,1,D,1,,,0,,
17492,Zygomycete,KP,70063,PDA,2,L,1,12,,0,,
17492,Zygomycete,KP,70063,PDA,2,D,1,12,,0,,
17492,Zygomycete,KP,70063,PDA,3,L,1,6,20,0,,
17492,Zygomycete,KP,70063,PDA,3,D,1,,,0,,
17492,Zygomycete,KP,70063,PDA,4,L,1,15,,0,,
17492,Zygomycete,KP,70063,PDA,4,D,1,14,,7,,
17492,Zygomycete,KP,70063,MEA,1,L,1,22,,0,,
17492,Zygomycete,KP,70063,MEA,1,D,1,11,,0,,
17492,Zygomycete,KP,70063,MEA,2,L,1,6,20,0,,
17492,Zygomycete,KP,70063,MEA,2,D,1,26,100,0,,
17492,Zygomycete,KP,70063,MEA,3,L,1,,,0,,
17492,Zygomycete,KP,70063,MEA,3,D,1,,,0,,
17492,Zygomycete,KP,70063,MEA,4,L,1,8,75,7,,
17492,Zygomycete,KP,70063,MEA,4,D,1,7,50,8,,
17492,Zygomycete,KP,70063,WA,1,L,1,,,0,,
17492,Zygomycete,KP,70063,WA,1,D,1,,,0,,
17492,Zygomycete,KP,70063,WA,2,L,1,22,,0,,
17492,Zygomycete,KP,70063,WA,2,D,1,22,,0,,
17492,Zygomycete,KP,70063,WA,3,L,1,36,50,9,,
17492,Zygomycete,KP,70063,WA,3,D,1,36,50,11,,
17492,Zygomycete,KP,70063,WA,4,L,1,36,50,11,,
17492,Zygomycete,KP,70063,WA,5,L,1,36,50,0,,
17492,Zygomycete,KP,70063,CEA,1,L,1,10,,12,,
17492,Zygomycete,KP,70063,CEA,1,D,1,10,,8,,
17492,Zygomycete,KP,70063,CEA,2,L,1,22,,8,,
17492,Zygomycete,KP,70063,CEA,2,D,1,22,,8,,
17492,Zygomycete,KP,70063,CEA,3,L,1,9,20,11,,
17492,Zygomycete,KP,70063,CEA,3,D,1,10,20,14,,
17492,Zygomycete,KP,70063,CEA,4,L,1,41,100,7,,
17492,Zygomycete,KP,70063,CEA,4,D,1,23,,7,,
17492,Zygomycete,KP,70063,REA,1,L,1,,,0,,
17492,Zygomycete,KP,70063,REA,1,D,1,,,0,,
17492,Zygomycete,KP,70063,REA,2,L,1,22,,0,,
17492,Zygomycete,KP,70063,REA,2,D,1,,,0,,
17492,Zygomycete,KP,70063,REA,3,L,1,8,50,8,,
17492,Zygomycete,KP,70063,REA,3,D,1,36,100,7,,
17492,Zygomycete,KP,70063,REA,4,L,1,6,20,0,,
17492,Zygomycete,KP,70063,REA,4,D,1,4,20,10,,
17492,Zygomycete,KP,70063,REA,5,L,1,15,,0,,
17492,Zygomycete,KP,70063,REA,5,D,1,14,,7,,
17492,Zygomycete,KP,70063,REA,6,D,1,14,,7,,
17492,Zygomycete,KP,70063,REA,7,D,1,7,50,0,,
17492,Zygomycete,KP,70063,OEA,1,L,1,,,0,,
17492,Zygomycete,KP,70063,OEA,1,D,1,14,50,0,,
17492,Zygomycete,KP,70063,OEA,2,L,1,12,,0,,
17492,Zygomycete,KP,70063,OEA,2,D,1,22,,0,,
17492,Zygomycete,KP,70063,OEA,3,L,1,36,100,10,,
17492,Zygomycete,KP,70063,OEA,3,D,1,,,0,,
17492,Zygomycete,KP,70063,OEA,4,L,1,6,20,0,,
17492,Zygomycete,KP,70063,OEA,4,D,1,,,10,,
17492,Zygomycete,KP,70063,OEA,5,L,1,8,50,6,,
17492,Zygomycete,KP,70063,OEA,5,D,1,8,50,11,,
17492,Zygomycete,EC,25922L,PDA,1,L,1,14,,8,,
17492,Zygomycete,EC,25922L,PDA,1,D,1,14,,7,,
17492,Zygomycete,EC,25922L,PDA,2,L,1,5,20,0,,
17492,Zygomycete,EC,25922L,PDA,2,D,1,26,100,0,,
17492,Zygomycete,EC,25922L,PDA,3,L,1,6,20,0,,
17492,Zygomycete,EC,25922L,PDA,3,D,1,14,,0,,
17492,Zygomycete,EC,25922L,PDA,4,L,1,15,,0,,
17492,Zygomycete,EC,25922L,MEA,1,L,1,24,,0,,
17492,Zygomycete,EC,25922L,MEA,1,D,1,14,,0,,
17492,Zygomycete,EC,25922L,MEA,2,L,1,6,20,20,,
17492,Zygomycete,EC,25922L,MEA,2,D,1,26,100,0,,
17492,Zygomycete,EC,25922L,MEA,3,L,1,15,,0,,
17492,Zygomycete,EC,25922L,MEA,3,D,1,7,50,0,,
17492,Zygomycete,EC,25922L,MEA,4,L,1,8,75,0,,
17492,Zygomycete,EC,25922L,WA,1,L,1,15,,0,,
17492,Zygomycete,EC,25922L,WA,1,D,1,,,0,,
17492,Zygomycete,EC,25922L,WA,2,L,1,15,,0,,
17492,Zygomycete,EC,25922L,WA,2,D,1,14,,0,,
17492,Zygomycete,EC,25922L,WA,3,L,1,36,50,0,,
17492,Zygomycete,EC,25922L,WA,4,L,1,36,50,0,,
17492,Zygomycete,EC,25922L,CEA,1,L,1,24,,0,,
17492,Zygomycete,EC,25922L,CEA,1,D,1,24,,0,,
17492,Zygomycete,EC,25922L,CEA,2,L,1,9,20,0,,
17492,Zygomycete,EC,25922L,CEA,3,L,1,36,,0,,
17492,Zygomycete,EC,25922L,REA,1,L,1,8,50,0,,
17492,Zygomycete,EC,25922L,REA,1,D,1,36,100,0,,
17492,Zygomycete,EC,25922L,REA,2,L,1,6,20,0,,
17492,Zygomycete,EC,25922L,REA,2,D,1,14,,0,,
17492,Zygomycete,EC,25922L,REA,3,L,1,15,,0,,
17492,Zygomycete,EC,25922L,REA,3,D,1,14,,0,,
17492,Zygomycete,EC,25922L,REA,4,D,1,7,50,0,,
17492,Zygomycete,EC,25922L,OEA,1,L,1,24,,0,,
17492,Zygomycete,EC,25922L,OEA,1,D,1,14,,0,,
17492,Zygomycete,EC,25922L,OEA,2,L,1,6,20,0,,
17492,Zygomycete,EC,25922L,OEA,2,D,1,,,0,,
17492,Zygomycete,EC,25922L,OEA,3,L,1,8,50,0,,
17492,Zygomycete,EC,25922L,OEA,3,D,1,8,50,0,,
15652,Zygomycete,KP,70063,PDA,1,L,1,8,100,0,,
15652,Zygomycete,KP,70063,PDA,1,D,1,8,100,0,,
15652,Zygomycete,KP,70063,PDA,2,L,1,14,100,0,,
15652,Zygomycete,KP,70063,PDA,2,D,1,14,100,0,,
15652,Zygomycete,KP,70063,PDA,3,L,1,,100,0,,
15652,Zygomycete,KP,70063,PDA,3,D,1,,100,0,,
15652,Zygomycete,KP,70063,MEA,1,L,1,8,100,0,,
15652,Zygomycete,KP,70063,MEA,1,D,1,8,100,0,,
15652,Zygomycete,KP,70063,MEA,2,L,1,14,100,0,,
15652,Zygomycete,KP,70063,MEA,2,D,1,14,100,0,,
15652,Zygomycete,KP,70063,MEA,3,L,1,,100,0,,
15652,Zygomycete,KP,70063,MEA,3,D,1,,100,0,,
15652,Zygomycete,KP,70063,WA,1,L,1,8,100,0,,
15652,Zygomycete,KP,70063,WA,1,D,1,8,100,0,,
15652,Zygomycete,KP,70063,WA,2,L,1,14,100,0,,
15652,Zygomycete,KP,70063,WA,2,D,1,14,100,0,,
15652,Zygomycete,KP,70063,WA,3,L,1,,100,0,,
15652,Zygomycete,KP,70063,WA,3,D,1,,100,0,,
15652,Zygomycete,KP,70063,CEA,1,L,1,8,100,10,,
15652,Zygomycete,KP,70063,CEA,1,D,1,8,100,14,,
15652,Zygomycete,KP,70063,CEA,2,L,1,14,100,19,,
15652,Zygomycete,KP,70063,CEA,2,D,1,14,100,18,,
15652,Zygomycete,KP,70063,CEA,3,L,1,,100,0,,
15652,Zygomycete,KP,70063,CEA,3,D,1,,100,0,,
15652,Zygomycete,KP,70063,REA,1,L,1,8,100,0,,
15652,Zygomycete,KP,70063,REA,1,D,1,8,100,0,,
15652,Zygomycete,KP,70063,REA,2,L,1,14,100,0,,
15652,Zygomycete,KP,70063,REA,2,D,1,14,100,0,,
15652,Zygomycete,KP,70063,REA,3,L,1,,100,0,,
15652,Zygomycete,KP,70063,REA,3,D,1,,100,0,,
15652,Zygomycete,KP,70063,OEA,1,L,1,8,100,9,,
15652,Zygomycete,KP,70063,OEA,1,D,1,8,100,8,,
15652,Zygomycete,KP,70063,OEA,2,L,1,14,100,0,,
15652,Zygomycete,KP,70063,OEA,2,D,1,14,100,0,,
15652,Zygomycete,EC,25922L,PDA,1,L,1,24,100,8,,
15652,Zygomycete,EC,25922L,PDA,1,D,1,24,100,12,,
15652,Zygomycete,EC,25922L,PDA,2,L,1,8,100,11,,
15652,Zygomycete,EC,25922L,PDA,2,D,1,8,100,7,,
15652,Zygomycete,EC,25922L,PDA,2,L,2,8,100,11,,
15652,Zygomycete,EC,25922L,PDA,2,D,2,8,100,7,,
15652,Zygomycete,EC,25922L,PDA,2,L,2,8,100,13,,
15652,Zygomycete,EC,25922L,PDA,2,D,2,8,100,7,,
15652,Zygomycete,EC,25922L,MEA,1,L,1,,100,0,,
15652,Zygomycete,EC,25922L,MEA,1,D,1,,100,0,,
15652,Zygomycete,EC,25922L,MEA,2,L,1,8,100,14,,
15652,Zygomycete,EC,25922L,MEA,2,D,1,8,100,16,,
15652,Zygomycete,EC,25922L,MEA,2,L,2,8,100,17,,
15652,Zygomycete,EC,25922L,MEA,2,D,2,8,100,16,,
15652,Zygomycete,EC,25922L,MEA,2,L,3,8,100,14,,
15652,Zygomycete,EC,25922L,MEA,2,D,3,8,100,16,,
15652,Zygomycete,EC,25922L,MEA,3,L,1,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,3,L,2,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,3,L,3,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,L,1,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,D,1,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,L,2,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,D,2,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,L,3,15,100,0,,
15652,Zygomycete,EC,25922L,MEA,4,D,3,15,100,0,,
21634,Basidiomycete,KP,70063,PDA,1,L,1,12,100,7,,
21634,Basidiomycete,KP,70063,PDA,1,D,1,14,100,0,,
21634,Basidiomycete,KP,70063,PDA,2,L,1,5,20,0,,
21634,Basidiomycete,KP,70063,PDA,2,D,1,15,75,0,,
21634,Basidiomycete,KP,70063,PDA,3,L,1,,,0,,
21634,Basidiomycete,KP,70063,MEA,1,L,1,12,,0,,
21634,Basidiomycete,KP,70063,MEA,1,D,1,30,100,0,,
21634,Basidiomycete,KP,70063,MEA,2,L,1,6,20,0,,
21634,Basidiomycete,KP,70063,MEA,2,D,1,14,100,0,,
21634,Basidiomycete,KP,70063,MEA,3,L,1,6,20,0,,
21634,Basidiomycete,KP,70063,MEA,3,D,1,4,20,0,,
21634,Basidiomycete,KP,70063,WA,1,L,1,13,20,0,,
21634,Basidiomycete,KP,70063,WA,1,D,1,14,100,0,,
21634,Basidiomycete,KP,70063,WA,2,L,1,6,20,0,,
21634,Basidiomycete,KP,70063,WA,2,D,1,,,0,,
21634,Basidiomycete,KP,70063,WA,3,L,1,22,,0,,
21634,Basidiomycete,KP,70063,WA,3,D,1,15,80,0,,
21634,Basidiomycete,KP,70063,CEA,1,L,1,26,100,7,,
21634,Basidiomycete,KP,70063,CEA,1,D,1,12,,7,,
21634,Basidiomycete,KP,70063,CEA,2,L,1,26,100,12,,
21634,Basidiomycete,KP,70063,CEA,2,D,1,14,100,15,,
21634,Basidiomycete,KP,70063,REA,1,L,1,12,,0,,
21634,Basidiomycete,KP,70063,REA,1,D,1,38,100,8,,
21634,Basidiomycete,KP,70063,REA,2,L,1,6,20,8,,
21634,Basidiomycete,KP,70063,REA,2,D,1,36,100,0,,
21634,Basidiomycete,KP,70063,REA,3,L,1,15,100,0,,
21634,Basidiomycete,KP,70063,REA,3,D,1,,,0,,
21634,Basidiomycete,KP,70063,OEA,1,L,1,12,100,0,,
21634,Basidiomycete,KP,70063,OEA,1,D,1,14,100,0,,
21634,Basidiomycete,KP,70063,OEA,2,L,1,13,100,22,,
21634,Basidiomycete,KP,70063,OEA,2,D,1,4,20,0,,
21634,Basidiomycete,KP,70063,OEA,3,L,1,6,50,7,,
21634,Basidiomycete,KP,70063,OEA,3,D,1,28,100,9,,
21634,Basidiomycete,KP,70063,OEA,4,L,1,13,100,0,,
21634,Basidiomycete,EC,25922L,PDA,1,L,1,14,100,9,,
21634,Basidiomycete,EC,25922L,PDA,1,D,1,14,100,0,,
21634,Basidiomycete,EC,25922L,PDA,2,L,1,7,20,0,,
21634,Basidiomycete,EC,25922L,PDA,3,L,1,,,0,,
21634,Basidiomycete,EC,25922L,PDA,4,L,1,,,0,,
21634,Basidiomycete,EC,25922L,PDA,4,D,1,15,75,0,,
21634,Basidiomycete,EC,25922L,MEA,1,L,1,14,,0,,
21634,Basidiomycete,EC,25922L,MEA,1,D,1,30,100,20,,
21634,Basidiomycete,EC,25922L,MEA,2,L,1,6,20,0,,
21634,Basidiomycete,EC,25922L,MEA,2,D,1,14,20,0,,
21634,Basidiomycete,EC,25922L,MEA,3,L,1,6,20,0,,
21634,Basidiomycete,EC,25922L,MEA,3,D,1,4,20,7,,
21634,Basidiomycete,EC,25922L,MEA,4,D,1,7,50,0,,
21634,Basidiomycete,EC,25922L,WA,1,L,1,13,20,0,,
21634,Basidiomycete,EC,25922L,WA,1,D,1,,,0,,
21634,Basidiomycete,EC,25922L,WA,2,L,1,6,20,0,,
21634,Basidiomycete,EC,25922L,WA,2,D,1,15,80,0,,
21634,Basidiomycete,EC,25922L,CEA,1,L,1,14,,0,,
21634,Basidiomycete,EC,25922L,CEA,1,D,1,,,0,,
21634,Basidiomycete,EC,25922L,CEA,2,L,1,26,100,0,,
21634,Basidiomycete,EC,25922L,CEA,2,D,1,,,0,,
21634,Basidiomycete,EC,25922L,CEA,3,L,1,26,100,0,,
21634,Basidiomycete,EC,25922L,CEA,3,D,1,,,0,,
21634,Basidiomycete,EC,25922L,REA,1,L,1,6,20,0,,
21634,Basidiomycete,EC,25922L,REA,1,D,1,38,100,0,,
21634,Basidiomycete,EC,25922L,REA,2,L,1,15,,0,,
21634,Basidiomycete,EC,25922L,REA,2,D,1,14,,0,,
21634,Basidiomycete,EC,25922L,REA,3,L,1,15,,0,,
21634,Basidiomycete,EC,25922L,REA,3,D,1,14,,0,,
21634,Basidiomycete,EC,25922L,REA,4,L,1,15,100,0,,
21634,Basidiomycete,EC,25922L,REA,4,D,1,23,,0,,
21634,Basidiomycete,EC,25922L,OEA,1,L,1,14,,0,,
21634,Basidiomycete,EC,25922L,OEA,1,D,1,,,0,,
21634,Basidiomycete,EC,25922L,OEA,2,L,1,13,100,7,,
21634,Basidiomycete,EC,25922L,OEA,2,D,1,4,20,0,,
21634,Basidiomycete,EC,25922L,OEA,3,L,1,13,100,0,,
21634,Basidiomycete,EC,25922L,OEA,3,D,1,28,100,9,,
16586,Basidiomycete,KP,70063,PDA,1,L,1,15,100,0,,
16586,Basidiomycete,KP,70063,PDA,1,D,1,14,100,0,,
16586,Basidiomycete,KP,70063,PDA,2,L,1,7,20,0,,
16586,Basidiomycete,KP,70063,PDA,2,D,1,28,100,0,,
16586,Basidiomycete,KP,70063,PDA,2,D,2,28,100,0,,
16586,Basidiomycete,KP,70063,PDA,3,L,1,,,0,,
16586,Basidiomycete,KP,70063,PDA,3,D,1,15,80,0,,
16586,Basidiomycete,KP,70063,MEA,1,L,1,15,,0,,
16586,Basidiomycete,KP,70063,MEA,1,D,1,15,,0,,
16586,Basidiomycete,KP,70063,MEA,2,L,1,30,100,0,,
16586,Basidiomycete,KP,70063,MEA,2,D,1,30,100,0,,
16586,Basidiomycete,KP,70063,MEA,3,L,1,,,0,,
16586,Basidiomycete,KP,70063,MEA,3,D,1,35,100,0,,
16586,Basidiomycete,KP,70063,WA,1,L,1,22,,0,,
16586,Basidiomycete,KP,70063,WA,1,D,1,,,0,,
16586,Basidiomycete,KP,70063,WA,2,L,1,36,100,7,,
16586,Basidiomycete,KP,70063,WA,2,D,1,36,100,0,,
16586,Basidiomycete,KP,70063,WA,3,L,1,48,100,0,,
16586,Basidiomycete,KP,70063,WA,3,D,1,29,100,0,,
