ICMP,Phylum,TestedAgainst,Strain,Media,BioRep,Condition,TechRep,DaysOld,Size,ZOISize,Neg _control,
16586,Basidiomycete,KP,70063,WA,4,L,1,23,100,8,,
16586,Basidiomycete,KP,70063,CEA,1,L,1,22,,13,,
16586,Basidiomycete,KP,70063,CEA,1,D,1,22,,11,,
16586,Basidiomycete,KP,70063,CEA,2,L,1,36,100,0,,
16586,Basidiomycete,KP,70063,CEA,2,D,1,36,100,10,8,
16586,Basidiomycete,KP,70063,CEA,3,D,1,23,,12,7,
16586,Basidiomycete,KP,70063,CEA,4,L,1,21,,12,,
16586,Basidiomycete,KP,70063,CEA,4,D,1,14,20,0,,
16586,Basidiomycete,KP,70063,REA,1,L,1,22,,0,,
16586,Basidiomycete,KP,70063,REA,1,D,1,,,0,,
16586,Basidiomycete,KP,70063,REA,2,L,1,36,100,0,,
16586,Basidiomycete,KP,70063,REA,2,D,1,36,100,7,,
16586,Basidiomycete,KP,70063,REA,3,L,1,48,100,0,,
16586,Basidiomycete,KP,70063,REA,3,D,1,,,0,,
16586,Basidiomycete,KP,70063,REA,4,L,1,15,,0,,
16586,Basidiomycete,KP,70063,REA,4,D,1,37,100,0,,
16586,Basidiomycete,KP,70063,REA,5,D,1,44,100,0,,
16586,Basidiomycete,KP,70063,OEA,1,L,1,,,0,,
16586,Basidiomycete,KP,70063,OEA,1,D,1,16,,0,,
16586,Basidiomycete,KP,70063,OEA,2,L,1,31,100,0,,
16586,Basidiomycete,KP,70063,OEA,2,D,1,14,50,0,,
16586,Basidiomycete,KP,70063,OEA,3,L,1,14,100,9,,
16586,Basidiomycete,KP,70063,OEA,3,D,1,14,50,7,,
16586,Basidiomycete,EC,25922L,PDA,1,L,1,15,100,11,,
16586,Basidiomycete,EC,25922L,PDA,1,D,1,14,100,0,,
16586,Basidiomycete,EC,25922L,PDA,2,L,1,,,0,,
16586,Basidiomycete,EC,25922L,PDA,2,D,1,14,100,8,,
16586,Basidiomycete,EC,25922L,PDA,3,L,1,15,100,0,,
16586,Basidiomycete,EC,25922L,PDA,3,D,1,14,100,0,,
16586,Basidiomycete,EC,25922L,PDA,4,D,1,28,100,0,,
16586,Basidiomycete,EC,25922L,PDA,4,D,2,28,100,0,,
16586,Basidiomycete,EC,25922L,PDA,5,D,1,15,80,0,,
16586,Basidiomycete,EC,25922L,MEA,1,L,1,17,,0,,
16586,Basidiomycete,EC,25922L,MEA,1,D,1,17,,0,,
16586,Basidiomycete,EC,25922L,MEA,2,L,1,30,100,0,,
16586,Basidiomycete,EC,25922L,MEA,2,D,1,30,100,25,,
16586,Basidiomycete,EC,25922L,MEA,3,L,1,,,0,,
16586,Basidiomycete,EC,25922L,MEA,3,D,1,14,,0,,
16586,Basidiomycete,EC,25922L,MEA,4,D,1,14,,0,,
16586,Basidiomycete,EC,25922L,MEA,5,D,1,35,100,0,,
16586,Basidiomycete,EC,25922L,WA,1,L,1,15,,0,,
16586,Basidiomycete,EC,25922L,WA,1,D,1,14,,0,,
16586,Basidiomycete,EC,25922L,WA,2,L,1,48,100,0,,
16586,Basidiomycete,EC,25922L,WA,2,D,1,14,,0,,
16586,Basidiomycete,EC,25922L,WA,3,D,1,23,,0,,
16586,Basidiomycete,EC,25922L,WA,4,D,1,29,100,0,,
16586,Basidiomycete,EC,25922L,CEA,1,L,1,24,,0,,
16586,Basidiomycete,EC,25922L,CEA,1,D,1,24,,0,,
16586,Basidiomycete,EC,25922L,CEA,2,L,1,36,100,0,,
16586,Basidiomycete,EC,25922L,CEA,2,D,1,36,100,0,,
16586,Basidiomycete,EC,25922L,CEA,3,L,1,21,,0,,
16586,Basidiomycete,EC,25922L,CEA,3,D,1,23,,0,,
16586,Basidiomycete,EC,25922L,CEA,4,D,1,14,20,0,,
16586,Basidiomycete,EC,25922L,REA,1,L,1,36,100,0,,
16586,Basidiomycete,EC,25922L,REA,1,D,1,36,100,0,,
16586,Basidiomycete,EC,25922L,REA,2,L,1,15,,0,,
16586,Basidiomycete,EC,25922L,REA,2,D,1,,,0,,
16586,Basidiomycete,EC,25922L,REA,3,L,1,48,100,0,,
16586,Basidiomycete,EC,25922L,REA,3,D,1,14,,0,,
16586,Basidiomycete,EC,25922L,REA,4,L,1,15,,0,,
16586,Basidiomycete,EC,25922L,REA,4,D,1,37,100,0,,
16586,Basidiomycete,EC,25922L,REA,5,D,1,44,100,0,,
16586,Basidiomycete,EC,25922L,OEA,1,L,1,18,,8,,
16586,Basidiomycete,EC,25922L,OEA,1,D,1,,,0,,
16586,Basidiomycete,EC,25922L,OEA,2,L,1,21,100,0,,
16586,Basidiomycete,EC,25922L,OEA,2,D,1,30,30,0,,
16586,Basidiomycete,EC,25922L,OEA,3,L,1,14,100,0,,
16586,Basidiomycete,EC,25922L,OEA,3,D,1,14,50,0,,
20907,Ascomycete,KP,70063,PDA,1,L,1,,,7,,
20907,Ascomycete,KP,70063,PDA,1,D,1,,,7,,
20907,Ascomycete,KP,70063,PDA,2,L,1,,,0,,
20907,Ascomycete,KP,70063,PDA,2,D,1,30,50,0,,
20907,Ascomycete,KP,70063,PDA,3,L,1,15,20,0,,
20907,Ascomycete,KP,70063,PDA,3,D,1,26,50,0,,
20907,Ascomycete,KP,70063,MEA,1,L,1,,,0,,
20907,Ascomycete,KP,70063,MEA,1,D,1,26,,0,,
20907,Ascomycete,KP,70063,MEA,2,L,1,27,,0,,
20907,Ascomycete,KP,70063,MEA,2,D,1,14,20,9,,
20907,Ascomycete,KP,70063,MEA,3,L,1,14,20,0,,
20907,Ascomycete,KP,70063,MEA,3,D,1,,,0,,
20907,Ascomycete,KP,70063,WA,1,L,1,,,0,,
20907,Ascomycete,KP,70063,WA,1,D,1,,,0,,
20907,Ascomycete,KP,70063,WA,2,L,1,36,20,0,,
20907,Ascomycete,KP,70063,WA,2,D,1,36,50,6,,
20907,Ascomycete,KP,70063,WA,3,L,1,14,20,0,,
20907,Ascomycete,KP,70063,WA,3,D,1,,,0,,
20907,Ascomycete,KP,70063,WA,4,L,1,30,50,0,,
20907,Ascomycete,KP,70063,WA,4,L,2,30,50,0,,
20907,Ascomycete,KP,70063,CEA,1,L,1,22,20,13,,
20907,Ascomycete,KP,70063,CEA,1,D,1,,,7,,
20907,Ascomycete,KP,70063,CEA,2,L,1,36,20,13,12,
20907,Ascomycete,KP,70063,CEA,2,D,1,,,0,12,
20907,Ascomycete,KP,70063,CEA,3,L,1,30,20,15,15,
20907,Ascomycete,KP,70063,CEA,3,L,1,30,20,15,15,
20907,Ascomycete,KP,70063,CEA,3,D,1,40,,20,,
20907,Ascomycete,KP,70063,CEA,4,D,1,26,20,19,,
20907,Ascomycete,KP,70063,CEA,5,D,1,14,20,0,,
20907,Ascomycete,KP,70063,REA,1,L,1,22,,7,,
20907,Ascomycete,KP,70063,REA,1,D,1,16,,7,,
20907,Ascomycete,KP,70063,REA,2,L,1,16,20,0,,
20907,Ascomycete,KP,70063,REA,2,D,1,36,50,0,,
20907,Ascomycete,KP,70063,REA,3,L,1,23,20,0,,
20907,Ascomycete,KP,70063,REA,3,D,1,21,50,0,,
20907,Ascomycete,KP,70063,REA,4,L,1,30,50,0,,
20907,Ascomycete,KP,70063,REA,4,L,2,30,50,0,,
20907,Ascomycete,KP,70063,REA,4,D,1,14,20,0,,
20907,Ascomycete,KP,70063,REA,5,L,1,30,50,10,,
20907,Ascomycete,KP,70063,OEA,1,L,1,22,20,7,,
20907,Ascomycete,KP,70063,OEA,1,D,1,,,7,,
20907,Ascomycete,KP,70063,OEA,2,L,1,,,7,,
20907,Ascomycete,KP,70063,OEA,2,D,1,14,20,0,,
20907,Ascomycete,KP,70063,OEA,3,L,1,23,20,0,,
20907,Ascomycete,EC,25922L,PDA,1,L,1,14,,9,,
20907,Ascomycete,EC,25922L,PDA,1,D,1,17,,9,,
20907,Ascomycete,EC,25922L,PDA,2,L,1,,,0,,
20907,Ascomycete,EC,25922L,PDA,2,D,1,30,50,14,,
20907,Ascomycete,EC,25922L,PDA,3,L,1,23,,7,,
20907,Ascomycete,EC,25922L,PDA,3,D,1,26,50,11,,
20907,Ascomycete,EC,25922L,MEA,1,L,1,16,20,6,,
20907,Ascomycete,EC,25922L,MEA,1,D,1,20,,0,,
20907,Ascomycete,EC,25922L,MEA,2,L,1,27,,0,,
20907,Ascomycete,EC,25922L,MEA,2,D,1,26,,0,,
20907,Ascomycete,EC,25922L,MEA,3,L,1,14,20,0,,
20907,Ascomycete,EC,25922L,MEA,3,D,1,14,20,0,,
20907,Ascomycete,EC,25922L,WA,1,L,1,15,20,0,,
20907,Ascomycete,EC,25922L,WA,1,D,1,,,0,,
20907,Ascomycete,EC,25922L,WA,2,L,1,15,20,0,,
20907,Ascomycete,EC,25922L,WA,2,D,1,26,,0,,
20907,Ascomycete,EC,25922L,WA,3,L,1,14,20,0,,
20907,Ascomycete,EC,25922L,WA,3,D,1,14,20,0,,
20907,Ascomycete,EC,25922L,WA,4,L,1,30,50,0,,
20907,Ascomycete,EC,25922L,WA,4,L,1,30,50,0,,
20907,Ascomycete,EC,25922L,WA,4,D,1,14,20,0,,
20907,Ascomycete,EC,25922L,CEA,1,L,1,24,20,0,,
20907,Ascomycete,EC,25922L,CEA,1,D,1,24,20,0,,
20907,Ascomycete,EC,25922L,CEA,2,L,1,36,20,0,,
20907,Ascomycete,EC,25922L,CEA,2,D,1,,,0,,
20907,Ascomycete,EC,25922L,CEA,3,L,1,30,20,0,,
20907,Ascomycete,EC,25922L,CEA,3,L,1,30,20,0,,
20907,Ascomycete,EC,25922L,CEA,3,D,1,,,0,,
20907,Ascomycete,EC,25922L,CEA,4,D,1,14,20,0,,
20907,Ascomycete,EC,25922L,REA,1,L,1,16,20,0,,
20907,Ascomycete,EC,25922L,REA,1,D,1,36,50,0,,
20907,Ascomycete,EC,25922L,REA,2,L,1,23,20,0,,
20907,Ascomycete,EC,25922L,REA,2,D,1,26,20,0,,
20907,Ascomycete,EC,25922L,REA,3,L,1,30,50,0,,
20907,Ascomycete,EC,25922L,REA,3,D,1,21,20,0,,
20907,Ascomycete,EC,25922L,REA,4,L,1,30,50,0,,
20907,Ascomycete,EC,25922L,REA,4,D,1,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,1,L,1,24,20,8,,
20907,Ascomycete,EC,25922L,OEA,1,D,1,24,20,0,,
20907,Ascomycete,EC,25922L,OEA,2,L,1,,,8,,
20907,Ascomycete,EC,25922L,OEA,2,D,1,14,20,8,,
20907,Ascomycete,EC,25922L,OEA,3,L,1,15,20,7,,
20907,Ascomycete,EC,25922L,OEA,4,L,1,15,20,7,,
20907,Ascomycete,EC,25922L,OEA,5,L,1,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,5,L,2,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,5,L,3,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,6,L,1,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,6,L,2,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,6,L,3,14,20,0,,
20907,Ascomycete,EC,25922L,OEA,7,L,1,23,20,0,,
16865,Ascomycete,KP,70063,PDA,1,L,1,15,20,12,,
16865,Ascomycete,KP,70063,PDA,1,D,1,15,20,12,,
16865,Ascomycete,KP,70063,PDA,2,L,1,23,20,14,,
16865,Ascomycete,KP,70063,PDA,2,D,1,23,20,14,,
16865,Ascomycete,KP,70063,PDA,3,L,1,,,15,,
16865,Ascomycete,KP,70063,PDA,4,L,1,12,20,11,,
16865,Ascomycete,KP,70063,PDA,4,L,2,12,20,11,,
16865,Ascomycete,KP,70063,PDA,5,L,1,12,20,8,,
16865,Ascomycete,KP,70063,PDA,5,L,2,12,20,9,,
16865,Ascomycete,KP,70063,MEA,1,L,1,15,13,20,,
16865,Ascomycete,KP,70063,MEA,1,D,1,15,14,20,,
16865,Ascomycete,KP,70063,MEA,2,L,1,15,0,20,,
16865,Ascomycete,KP,70063,WA,1,L,1,23,20,8,,
16865,Ascomycete,KP,70063,WA,1,D,1,15,20,8,,
16865,Ascomycete,KP,70063,WA,2,L,1,,,0,,
16865,Ascomycete,KP,70063,WA,2,D,1,28,,0,,
16865,Ascomycete,KP,70063,CEA,1,L,1,28,,21,,
16865,Ascomycete,KP,70063,CEA,1,D,1,24,20,12,,
16865,Ascomycete,KP,70063,REA,1,L,1,,,0,,
16865,Ascomycete,KP,70063,REA,1,D,1,15,20,7,,
16865,Ascomycete,KP,70063,REA,2,L,1,23,50,0,,
16865,Ascomycete,KP,70063,REA,2,D,1,,,0,,
16865,Ascomycete,KP,70063,OEA,1,L,1,15,20,0,,
16865,Ascomycete,KP,70063,OEA,1,D,1,15,20,0,,
16865,Ascomycete,EC,25922L,PDA,1,L,1,,,19,,
16865,Ascomycete,EC,25922L,PDA,1,D,1,23,20,10,,
16865,Ascomycete,EC,25922L,PDA,2,L,1,23,20,18,,
16865,Ascomycete,EC,25922L,PDA,2,D,1,15,20,19,,
16865,Ascomycete,EC,25922L,PDA,3,L,1,15,20,15,,
16865,Ascomycete,EC,25922L,PDA,4,L,1,13,20,13,,
16865,Ascomycete,EC,25922L,PDA,5,D,1,13,20,18,,
16865,Ascomycete,EC,25922L,PDA,4,L,2,13,20,6,,
16865,Ascomycete,EC,25922L,PDA,5,D,2,13,20,16,,
16865,Ascomycete,EC,25922L,MEA,1,L,1,15,,0,,
16865,Ascomycete,EC,25922L,MEA,1,D,1,,,0,,
16865,Ascomycete,EC,25922L,WA,1,L,1,23,20,0,,
16865,Ascomycete,EC,25922L,WA,1,D,1,15,20,0,,
16865,Ascomycete,EC,25922L,WA,2,L,1,,,0,,
16865,Ascomycete,EC,25922L,WA,2,D,1,28,,0,,
16865,Ascomycete,EC,25922L,WA,3,L,1,,,0,,
16865,Ascomycete,EC,25922L,CEA,1,L,1,28,,0,,
16865,Ascomycete,EC,25922L,REA,1,L,1,,,0,,
16865,Ascomycete,EC,25922L,REA,1,D,1,15,20,7,,
16865,Ascomycete,EC,25922L,REA,2,L,1,23,50,0,,
16865,Ascomycete,EC,25922L,REA,2,D,1,,,0,,
16865,Ascomycete,EC,25922L,OEA,1,L,1,15,20,8,,
16865,Ascomycete,EC,25922L,OEA,1,D,1,12,20,8,,
16865,Ascomycete,EC,25922L,OEA,2,D,1,23,,8,,
16276,Basidiomycete,KP,70063,PDA,1,L,1,36,20,0,,
16276,Basidiomycete,KP,70063,PDA,1,D,1,26,20,0,,
16276,Basidiomycete,KP,70063,PDA,2,L,1,,,0,,
16276,Basidiomycete,KP,70063,PDA,3,L,1,27,,0,,
16276,Basidiomycete,KP,70063,MEA,1,L,1,36,20,0,,
16276,Basidiomycete,KP,70063,MEA,1,D,1,26,20,7,,
16276,Basidiomycete,KP,70063,MEA,2,D,1,26,,0,,
16276,Basidiomycete,KP,70063,MEA,3,D,1,71,,0,,
16276,Basidiomycete,KP,70063,CEA,1,D,1,71,,16,7,
16276,Basidiomycete,KP,70063,REA,1,L,1,36,20,0,,
16276,Basidiomycete,KP,70063,REA,1,D,1,26,20,0,,
16276,Basidiomycete,KP,70063,OEA,1,L,1,26,20,0,,
16276,Basidiomycete,EC,25922L,PDA,1,L,1,36,20,9,,
16276,Basidiomycete,EC,25922L,PDA,1,D,1,26,20,12,,
16276,Basidiomycete,EC,25922L,PDA,2,L,1,27,20,9,,
16276,Basidiomycete,EC,25922L,MEA,1,L,1,71,,0,,
16276,Basidiomycete,EC,25922L,MEA,2,L,1,27,20,0,,
16276,Basidiomycete,EC,25922L,MEA,3,L,1,,,0,,
16276,Basidiomycete,EC,25922L,MEA,4,L,1,15,20,0,,
16276,Basidiomycete,EC,25922L,WA,1,L,1,36,20,0,,
16276,Basidiomycete,EC,25922L,WA,1,D,1,26,20,0,,
16276,Basidiomycete,EC,25922L,WA,2,D,1,71,,0,,
16276,Basidiomycete,EC,25922L,REA,1,L,1,36,20,0,,
16276,Basidiomycete,EC,25922L,REA,1,D,1,26,20,0,,
16276,Basidiomycete,EC,25922L,REA,2,D,1,71,50,0,,
16276,Basidiomycete,EC,25922L,REA,3,D,1,26,20,0,,
16276,Basidiomycete,EC,25922L,OEA,1,L,1,26,20,0,,
16276,Basidiomycete,EC,25922L,OEA,1,D,1,,,0,,
16276,Basidiomycete,EC,25922L,OEA,2,D,1,26,20,0,,
16491,Basidiomycete,KP,70063,PDA,1,L,1,6,20,0,,
16491,Basidiomycete,KP,70063,PDA,1,D,1,16,100,0,,
16491,Basidiomycete,KP,70063,PDA,2,L,1,14,80,0,,
16491,Basidiomycete,KP,70063,PDA,2,D,1,12,,0,,
16491,Basidiomycete,KP,70063,PDA,3,L,1,13,,0,,
16491,Basidiomycete,KP,70063,PDA,3,D,1,13,,0,,
16491,Basidiomycete,KP,70063,PDA,4,L,1,7,20,0,,
16491,Basidiomycete,KP,70063,PDA,4,D,1,14,80,0,,
16491,Basidiomycete,KP,70063,MEA,1,L,1,,,6,,
16491,Basidiomycete,KP,70063,MEA,1,D,1,13,20,0,,
16491,Basidiomycete,KP,70063,MEA,2,L,1,14,20,0,,
16491,Basidiomycete,KP,70063,MEA,2,D,1,13,20,0,,
16491,Basidiomycete,KP,70063,MEA,3,L,1,15,20,0,,
16491,Basidiomycete,KP,70063,WA,1,L,1,28,,0,,
16491,Basidiomycete,KP,70063,WA,1,D,1,23,,0,,
16491,Basidiomycete,KP,70063,WA,2,L,1,28,100,0,,
16491,Basidiomycete,KP,70063,WA,2,D,1,13,50,0,,
16491,Basidiomycete,KP,70063,WA,3,L,1,28,100,0,,
16491,Basidiomycete,KP,70063,WA,3,D,1,13,50,0,,
16491,Basidiomycete,KP,70063,WA,4,L,1,23,20,0,,
16491,Basidiomycete,KP,70063,CEA,1,L,1,42,20,0,,
16491,Basidiomycete,KP,70063,CEA,1,D,1,23,20,16,7,
16491,Basidiomycete,KP,70063,CEA,2,L,1,28,20,0,,
16491,Basidiomycete,KP,70063,CEA,2,D,1,37,20,0,,
16491,Basidiomycete,KP,70063,CEA,3,L,1,35,20,14,,
16491,Basidiomycete,KP,70063,CEA,3,D,1,18,,8,,
16491,Basidiomycete,KP,70063,CEA,4,L,1,18,,11,,
16491,Basidiomycete,KP,70063,CEA,5,L,1,23,20,0,,
16491,Basidiomycete,KP,70063,REA,1,L,1,14,50,0,,
16491,Basidiomycete,KP,70063,REA,1,D,1,,,0,,
16491,Basidiomycete,KP,70063,REA,2,L,1,21,100,0,,
16491,Basidiomycete,KP,70063,REA,2,D,1,13,50,0,,
16491,Basidiomycete,KP,70063,REA,3,L,1,35,100,0,,
16491,Basidiomycete,KP,70063,REA,3,D,1,23,,9,,
16491,Basidiomycete,KP,70063,REA,4,L,1,21,,0,,
16491,Basidiomycete,KP,70063,REA,4,D,1,,,0,,
16491,Basidiomycete,KP,70063,REA,5,L,1,14,50,0,,
16491,Basidiomycete,KP,70063,REA,5,D,1,7,20,0,,
16491,Basidiomycete,KP,70063,REA,6,L,1,23,75,0,,
16491,Basidiomycete,KP,70063,OEA,1,L,1,12,20,7,,
16491,Basidiomycete,KP,70063,OEA,1,D,1,16,50,0,,
16491,Basidiomycete,KP,70063,OEA,2,L,1,14,50,0,,
16491,Basidiomycete,KP,70063,OEA,2,D,1,,,7,,
16491,Basidiomycete,KP,70063,OEA,3,L,1,15,50,0,,
16491,Basidiomycete,KP,70063,OEA,3,D,1,13,50,0,,
16491,Basidiomycete,KP,70063,OEA,4,L,1,23,100,0,,
16491,Basidiomycete,KP,70063,OEA,4,D,1,27,100,0,,
16491,Basidiomycete,KP,70063,OEA,5,D,1,27,100,0,,
16491,Basidiomycete,KP,70063,OEA,6,D,1,37,100,0,,
16491,Basidiomycete,EC,25922L,PDA,1,L,1,6,20,6,,
16491,Basidiomycete,EC,25922L,PDA,1,D,1,16,100,0,,
16491,Basidiomycete,EC,25922L,PDA,2,L,1,14,100,0,,
16491,Basidiomycete,EC,25922L,PDA,2,D,1,12,,0,,
16491,Basidiomycete,EC,25922L,PDA,3,L,1,13,,0,,
16491,Basidiomycete,EC,25922L,PDA,3,D,1,,,9,,
16491,Basidiomycete,EC,25922L,PDA,4,L,1,7,20,7,,
16491,Basidiomycete,EC,25922L,PDA,4,D,1,14,80,14,,
16491,Basidiomycete,EC,25922L,MEA,1,L,1,,,0,,
16491,Basidiomycete,EC,25922L,MEA,1,D,1,13,20,0,,
16491,Basidiomycete,EC,25922L,MEA,2,L,1,14,20,0,,
16491,Basidiomycete,EC,25922L,MEA,2,D,1,13,20,0,,
16491,Basidiomycete,EC,25922L,MEA,3,L,1,15,20,0,,
16491,Basidiomycete,EC,25922L,WA,1,L,1,28,100,0,,
16491,Basidiomycete,EC,25922L,WA,1,D,1,23,,0,,
16491,Basidiomycete,EC,25922L,WA,2,L,1,28,100,0,,
16491,Basidiomycete,EC,25922L,WA,2,D,1,28,,0,,
16491,Basidiomycete,EC,25922L,WA,3,D,1,13,50,0,,
16491,Basidiomycete,EC,25922L,WA,4,D,1,13,50,9,,
16491,Basidiomycete,EC,25922L,CEA,1,L,1,42,20,0,,
16491,Basidiomycete,EC,25922L,CEA,1,D,1,23,20,0,,
16491,Basidiomycete,EC,25922L,CEA,2,L,1,28,20,0,,
16491,Basidiomycete,EC,25922L,CEA,2,D,1,37,20,0,,
16491,Basidiomycete,EC,25922L,CEA,3,L,1,35,20,0,10,
16491,Basidiomycete,EC,25922L,CEA,3,D,1,18,20,0,,
16491,Basidiomycete,EC,25922L,CEA,4,L,1,18,20,0,,
16491,Basidiomycete,EC,25922L,REA,1,L,1,14,,0,,
16491,Basidiomycete,EC,25922L,REA,1,D,1,,,0,,
16491,Basidiomycete,EC,25922L,REA,2,L,1,35,100,0,,
16491,Basidiomycete,EC,25922L,REA,2,D,1,23,,0,,
16491,Basidiomycete,EC,25922L,REA,3,L,1,21,100,0,,
16491,Basidiomycete,EC,25922L,REA,3,D,1,23,,0,,
16491,Basidiomycete,EC,25922L,REA,4,L,1,14,50,0,,
16491,Basidiomycete,EC,25922L,REA,4,D,1,13,,0,,
16491,Basidiomycete,EC,25922L,REA,5,D,1,7,20,0,,
